,qna,,,,,,,,,,,,,,,summary_text,,,,,,,,,,,,,,,summary_knv,,,,,,,,,,,,,,
,f1,exact_match,rouge_rouge1_precision,rouge_rouge1_recall,rouge_rouge1_f1,rouge_rouge2_precision,rouge_rouge2_recall,rouge_rouge2_f1,rouge_rougeL_precision,rouge_rougeL_recall,rouge_rougeL_f1,bertscore_precision,bertscore_recall,bertscore_f1,cometscore,f1,exact_match,rouge_rouge1_precision,rouge_rouge1_recall,rouge_rouge1_f1,rouge_rouge2_precision,rouge_rouge2_recall,rouge_rouge2_f1,rouge_rougeL_precision,rouge_rougeL_recall,rouge_rougeL_f1,bertscore_precision,bertscore_recall,bertscore_f1,cometscore,f1,exact_match,rouge_rouge1_precision,rouge_rouge1_recall,rouge_rouge1_f1,rouge_rouge2_precision,rouge_rouge2_recall,rouge_rouge2_f1,rouge_rougeL_precision,rouge_rougeL_recall,rouge_rougeL_f1,bertscore_precision,bertscore_recall,bertscore_f1,cometscore
Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marathi,0.2279,0,0,0,0,0,0,0,0,0,0,0.2405,0.2343,0.2374,0.1865,0.6682,0,0.5017,0.3475,0.3829,0.1289,0.0862,0.0977,0.2162,0.1662,0.1685,0.8232,0.7999,0.811,0.711,0.302,0,0.0829,0.1638,0.0913,0.0191,0.0414,0.0218,0.0665,0.145,0.0758,0.8107,0.8528,0.8306,0.465
Kannada,0.4705,0,0,0,0,0,0,0,0,0,0,0.8601,0.8301,0.8448,0.4365,0.7471,0,0.5452,0.3434,0.4143,0.1194,0.0742,0.0901,0.223,0.1409,0.1693,0.8312,0.8187,0.8247,0.7594,0.2715,0,0.0698,0.1647,0.0794,0.0142,0.0228,0.0153,0.0591,0.1519,0.069,0.8088,0.8447,0.8254,0.4514
Gujarati,0.4959,0,0.0016,0.0016,0.0016,0,0,0,0.0016,0.0016,0.0016,0.8558,0.823,0.839,0.4422,0.7565,0,0.5412,0.332,0.4054,0.125,0.0749,0.093,0.2271,0.1403,0.1702,0.8342,0.828,0.831,0.764,0.2689,0,0.0623,0.1234,0.0697,0.0086,0.012,0.0092,0.0517,0.1123,0.0598,0.807,0.8409,0.8223,0.4478
English,0.6737,0,0.2604,0.4742,0.3291,0.0482,0.0886,0.0611,0.1412,0.2578,0.1785,0.8408,0.8631,0.8517,0.7059,0.707,0,0.6472,0.3478,0.4496,0.1755,0.0946,0.1222,0.2753,0.1478,0.1911,0.8401,0.8307,0.8353,0.7723,0.3351,0.0022,0.1215,0.2184,0.1284,0.0347,0.0579,0.036,0.1018,0.1994,0.111,0.8212,0.8572,0.838,0.4838
Telugu,0.3453,0,0.0209,0.0146,0.0161,0.0045,0.0026,0.0029,0.0209,0.0146,0.0161,0.5959,0.5723,0.5838,0.3669,0.7426,0,0.5611,0.3538,0.422,0.1313,0.08,0.0976,0.2375,0.154,0.1785,0.8386,0.8305,0.8344,0.7705,0.2632,0.0005,0.0616,0.1338,0.069,0.0091,0.0155,0.0097,0.0509,0.1224,0.0592,0.8041,0.8422,0.8216,0.446
Tamil,0.4418,0,0.0026,0.002,0.0022,0,0,0,0.0026,0.002,0.0022,0.6802,0.6538,0.6667,0.4056,0.7736,0,0.5672,0.3549,0.434,0.1339,0.0831,0.102,0.2377,0.1489,0.1818,0.8413,0.8354,0.8382,0.7842,0.2969,0,0.0755,0.1467,0.0823,0.0161,0.0274,0.017,0.062,0.1327,0.0697,0.8102,0.852,0.83,0.4624
Bangla,0.334,0,0.0011,0.0011,0.0011,0,0,0,0.0011,0.0011,0.0011,0.3949,0.3818,0.3882,0.3122,0.719,0,0.5576,0.3682,0.4265,0.1433,0.0937,0.1092,0.2401,0.1641,0.1851,0.8327,0.8123,0.822,0.7542,0.2901,0,0.0828,0.1609,0.0897,0.0228,0.0469,0.025,0.069,0.1466,0.0774,0.8114,0.8452,0.8269,0.462
Hindi,0.6178,0,0.0101,0.0098,0.0099,0,0,0,0.0101,0.0098,0.0099,0.862,0.8431,0.8524,0.3688,0.7144,0,0.5944,0.3338,0.4235,0.1473,0.0823,0.1048,0.2469,0.1401,0.1762,0.8409,0.832,0.8364,0.7812,0.3436,0.0004,0.0941,0.1496,0.0974,0.0217,0.0385,0.0232,0.0777,0.1343,0.0832,0.8155,0.8515,0.8324,0.4777
Assamese,0.5333,0,0.0026,0.0019,0.0021,0.0013,0.0004,0.0006,0.0026,0.0019,0.0021,0.8383,0.8076,0.8226,0.3954,0.7574,0,0.5543,0.3616,0.4281,0.1282,0.0822,0.0984,0.2341,0.1541,0.1808,0.8389,0.8296,0.8341,0.7645,0.2881,0,0.0688,0.153,0.0794,0.01,0.0175,0.0112,0.0566,0.1377,0.0672,0.8086,0.8505,0.8284,0.4593
