Model,Language,Metric,Mean,CI_low,CI_high,N
Mistral-7B-Instruct,English,ROUGE-L,0.1862882282761155,0.18344117305664456,0.18921798343034,650
Mistral-7B-Instruct,English,BERTScore,0.8661626577377319,0.8652739256620408,0.86704673320055,650
Mistral-7B-Instruct,English,Token-F1,0.3845502972423083,0.3801095586464082,0.38895495485478626,650
Mistral-7B-Instruct,English,Faithfulness,0.727885631473126,0.6997216745115046,0.7527933666728382,650
Mistral-7B-Instruct,Hindi,ROUGE-L,0.15795335929849402,0.1549871506856218,0.16107794503446418,256
Mistral-7B-Instruct,Hindi,BERTScore,0.8612353801727295,0.8601498454809189,0.8622882574796676,256
Mistral-7B-Instruct,Hindi,Token-F1,0.34933545090291757,0.34142593685211836,0.3569571904273275,256
Mistral-7B-Instruct,Hindi,Faithfulness,0.5395683916281087,0.4878241728907597,0.5897559403587593,256
Mistral-7B-Instruct,Marathi,ROUGE-L,0.14661590745756237,0.1426192238694912,0.1505596676365184,353
Mistral-7B-Instruct,Marathi,BERTScore,0.850356936454773,0.8486504569649697,0.8520500138401985,353
Mistral-7B-Instruct,Marathi,Token-F1,0.264091361370049,0.25020712478162793,0.2778636382437614,353
Mistral-7B-Instruct,Marathi,Faithfulness,0.4188096797952518,0.37659605280314795,0.46039499389006866,353
Mistral-7B-Instruct,Bangla,ROUGE-L,0.1594123767654425,0.15683333486946274,0.16217920739151992,614
Mistral-7B-Instruct,Bangla,BERTScore,0.8567308187484741,0.8556818485260009,0.8577515333890915,614
Mistral-7B-Instruct,Bangla,Token-F1,0.32825803977715756,0.3201569001674538,0.3358972664161062,614
Mistral-7B-Instruct,Bangla,Faithfulness,0.37248790933375536,0.341986472592681,0.4036763430948955,614
LLaMA2-13B,English,ROUGE-L,0.14169129041911438,0.1382331229701791,0.1453150471239986,571
LLaMA2-13B,English,BERTScore,0.8533623218536377,0.8520917356014251,0.854500626027584,571
